run_id,ablation,curriculum,macro_f1,balanced_acc,early_fault_recall
3b9c64,fusion,True,0.5503211620518048,0.8251769311850625,1.0
4a07c3,fusion,True,0.6372591360835507,0.785122722481554,0.8991250643335049
3a21cc,fusion,True,0.6734122807868792,0.8420418611654871,0.939269171384457
72ab53,fusion,True,0.5497165944596447,0.8236711338653817,1.0
204eb3,fusion,True,0.570119637014294,0.8283391055563921,1.0
5810d0,vibration_only,True,0.5494040434673465,0.8239722933293179,1.0
472f05,vibration_only,True,0.5893660830242793,0.8331576569793706,1.0
0e17ef,vibration_only,True,0.5482920165097346,0.8232193946694775,1.0
0af196,vibration_only,True,0.5518325007480258,0.8250263514530944,1.0
07050f,vibration_only,True,0.5498310556357662,0.8238217135973498,1.0
398e72,current_only,True,0.5328770229868321,0.8212618581538925,1.0
c63806,current_only,True,0.5503211620518048,0.8251769311850625,1.0
fa8fb5,current_only,True,0.5369553564876289,0.8221653365457009,1.0
564f7e,current_only,True,0.5410017208373075,0.8230688149375094,1.0
433ffa,current_only,True,0.5209961646286112,0.6751995181448577,0.7961914565105507
614ac1,fusion,False,0.54279178160596,0.8232193946694775,1.0
75ee75,fusion,False,0.4574399455922439,0.5470561662400241,0.6330416881111683
6fea4d,fusion,False,0.5503211620518048,0.8251769311850625,1.0
c0cac3,fusion,False,0.6117559568587162,0.8361692516187321,0.9927946474523932
ec81cc,fusion,False,0.5508306789473782,0.8244240325252221,1.0
911b5b,fusion,True,0.7362831962151576,0.8381999572257098,0.0
9f6dc9,fusion,True,0.7665829788613094,0.8574483877866821,0.0
baa7c5,fusion,True,0.8223188553095617,0.8768352057569162,0.0
f8eef2,fusion,True,0.7567749678149329,0.8470064287241938,0.0
5bea7a,fusion,True,0.7864939467653576,0.8633361430170972,0.0
